127.0.0.1 - - [22/Sep/2024:21:36:22 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:30:18 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 500 3346
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:51 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:52 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=1 HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:55 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=2 HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:57 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=3 HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:57 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=4 HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:58 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:59 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=6 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:33:59 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=8 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:00 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:01 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=9 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:01 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=8 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:02 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:34 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:37 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=2 HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:38 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=3 HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:39 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=4 HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:34:40 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:35:30 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:35:30 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:09 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=2 HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:28 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=2 HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:30 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:50 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:51 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:51 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:36:51 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=5 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:37:07 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:37:08 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=2 HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:37:09 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=7 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:37:10 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=8 HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:37:10 +0700] "GET /baitap24-9/BangCuuChuong.jsp?Tich=9 HTTP/1.1" 200 1663
